date_time,gold_price,ptt_price,pttep_price,top_price,usDollar_price
2015-01-05,1353.5,31.5,107.0,42.75,91.38
2015-01-06,1362.2,32.3,107.0,43.0,91.5
2015-01-07,1353.6,33.4,106.5,44.25,91.89
2015-01-08,1351.6,34.0,110.0,45.75,92.37
2015-01-09,1357.4,33.8,112.5,46.0,91.94
2015-01-10,1357.4,33.8,112.5,46.0,91.94
2015-01-11,1357.4,33.8,112.5,46.0,91.94
2015-01-12,1373.2,33.3,110.5,45.0,91.98
2015-01-13,1374.5,32.8,107.5,45.0,92.31
2015-01-14,1364.5,32.2,106.0,44.5,92.16
2015-01-15,1264.8,31.9,106.5,45.0,92.35
2015-01-16,1276.9,32.2,104.0,44.25,92.52
2015-01-17,1276.9,32.2,104.0,44.25,92.52
2015-01-18,1279.0,32.2,104.0,44.25,92.52
2015-01-19,1275.9,33.3,105.5,45.25,92.52
2015-01-20,1294.2,33.5,104.5,44.75,93.05
2015-01-21,1293.7,33.0,104.5,45.0,92.9
2015-01-22,1300.7,34.1,109.5,48.25,94.08
2015-01-23,1292.6,34.8,113.5,49.75,94.76
2015-01-24,1292.6,34.8,113.5,49.75,94.76
2015-01-25,1292.6,34.8,113.5,49.75,94.76
2015-01-26,1279.4,34.5,111.5,49.0,94.8
2015-01-27,1291.7,35.0,112.0,48.5,94.02
2015-01-28,1285.9,34.9,111.0,49.25,94.47
2015-01-29,1255.3,35.0,113.0,50.5,94.78
2015-01-30,1278.9,34.6,109.0,51.25,94.8
2015-01-31,1278.9,34.6,109.0,51.25,94.8
2015-02-01,1278.9,34.6,109.0,51.25,94.8
2015-02-02,1276.5,35.5,112.5,52.0,94.5
2015-02-03,1260.0,37.0,120.5,52.75,93.6
2015-02-04,1264.1,37.8,121.0,51.25,93.99
2015-02-05,1262.2,37.4,118.5,50.25,93.57
2015-02-06,1234.1,37.7,120.0,52.0,95.85
2015-02-07,1234.1,37.7,120.0,52.0,95.85
2015-02-08,1234.1,37.7,120.0,52.0,95.85
2015-02-09,1241.0,36.6,119.0,51.75,94.45
2015-02-10,1231.7,36.1,115.5,52.0,94.76
2015-02-11,1219.0,35.7,116.0,52.0,94.98
2015-02-12,1220.1,35.9,116.0,51.75,94.09
2015-02-13,1226.5,36.9,118.5,52.75,94.2
2015-02-14,1226.5,36.9,118.5,52.75,94.2
2015-02-15,1228.8,36.9,118.5,52.75,94.2
2015-02-16,1231.7,36.2,116.5,53.0,94.2
2015-02-17,1208.1,35.4,115.5,52.5,94.06
2015-02-18,1199.8,35.6,115.5,52.75,94.2
2015-02-19,1207.2,34.5,113.5,51.75,94.4
2015-02-20,1204.4,34.5,113.5,52.0,94.34
2015-02-21,1204.4,34.5,113.5,52.0,94.34
2015-02-22,1204.4,34.5,113.5,52.0,94.34
2015-02-23,1200.2,33.8,112.5,51.5,94.57
2015-02-24,1196.8,34.1,112.0,51.5,94.49
2015-02-25,1201.0,33.8,113.0,51.25,94.21
2015-02-26,1210.1,34.5,115.5,51.75,95.29
2015-02-27,1213.1,34.3,113.0,52.5,95.32
2015-02-28,1213.1,34.3,113.0,52.5,95.32
2015-03-01,1213.1,34.3,113.0,52.5,95.32
2015-03-02,1208.2,35.0,114.5,54.0,95.46
2015-03-03,1204.4,34.0,111.0,53.75,95.38
2015-03-04,1200.9,34.0,111.0,53.75,95.97
2015-03-05,1196.2,33.2,111.5,54.5,96.38
