"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2020","42.50","43.25","43.25","42.25","67.29M","0.00%"
"Dec 29, 2020","42.50","41.25","42.50","41.00","41.05M","3.66%"
"Dec 28, 2020","41.00","42.25","42.75","41.00","60.70M","-2.38%"
"Dec 25, 2020","42.00","41.25","42.25","41.25","32.41M","1.82%"
"Dec 24, 2020","41.25","40.75","41.50","40.75","45.41M","2.48%"
"Dec 23, 2020","40.25","41.00","41.75","40.25","122.12M","-2.42%"
"Dec 22, 2020","41.25","40.75","41.75","40.00","97.20M","1.85%"
"Dec 21, 2020","40.50","41.75","42.25","40.50","106.73M","-5.26%"
"Dec 18, 2020","42.75","42.75","43.25","42.50","134.03M","1.18%"
"Dec 17, 2020","42.25","42.75","42.75","42.25","35.36M","-0.59%"
"Dec 16, 2020","42.50","43.00","43.25","42.25","52.56M","-0.58%"
"Dec 15, 2020","42.75","42.00","43.00","41.75","64.38M","1.18%"
"Dec 14, 2020","42.25","42.75","43.50","42.25","77.69M","-1.74%"
"Dec 09, 2020","43.00","43.25","43.50","42.50","71.76M","-0.58%"
"Dec 08, 2020","43.25","42.50","44.00","42.25","117.68M","0.58%"
"Dec 04, 2020","43.00","42.50","43.25","42.50","92.41M","1.78%"
"Dec 03, 2020","42.25","41.50","42.50","40.75","96.10M","3.05%"
"Dec 02, 2020","41.00","40.25","41.50","40.25","73.40M","0.00%"
"Dec 01, 2020","41.00","40.50","41.50","40.25","55.25M","2.50%"
"Nov 30, 2020","40.00","41.25","41.50","39.75","108.60M","-4.19%"
"Nov 27, 2020","41.75","41.50","42.00","41.50","54.49M","-0.60%"
"Nov 26, 2020","42.00","41.75","42.00","41.25","83.35M","1.20%"
"Nov 25, 2020","41.50","41.25","42.00","40.25","195.75M","3.75%"
"Nov 24, 2020","40.00","40.75","41.25","40.00","162.89M","-1.23%"
"Nov 23, 2020","40.50","38.75","40.50","38.75","138.79M","5.88%"
"Nov 20, 2020","38.25","37.75","38.50","37.50","67.25M","1.32%"
"Nov 19, 2020","37.75","38.00","38.25","37.50","51.65M","-0.66%"
"Nov 18, 2020","38.00","37.00","38.00","37.00","56.40M","1.33%"
"Nov 17, 2020","37.50","37.50","38.00","37.25","66.52M","0.00%"
"Nov 16, 2020","37.50","38.00","38.25","37.50","48.35M","0.00%"
"Nov 13, 2020","37.50","36.75","38.00","36.50","71.19M","0.67%"
"Nov 12, 2020","37.25","37.75","38.00","36.75","100.17M","-2.61%"
"Nov 11, 2020","38.25","38.50","38.75","37.25","110.72M","0.00%"
"Nov 10, 2020","38.25","36.75","38.50","36.25","176.25M","10.07%"
"Nov 09, 2020","34.75","34.50","35.75","34.50","93.60M","2.21%"
"Nov 06, 2020","34.00","34.00","34.50","33.25","60.02M","0.00%"
"Nov 05, 2020","34.00","33.25","34.00","33.00","82.26M","4.62%"
"Nov 04, 2020","32.50","32.50","33.00","32.25","45.41M","-0.76%"
"Nov 03, 2020","32.75","31.25","32.75","31.25","65.59M","5.65%"
"Nov 02, 2020","31.00","31.00","31.25","30.50","30.86M","0.00%"
"Oct 30, 2020","31.00","31.00","31.25","30.50","56.73M","0.00%"
"Oct 29, 2020","31.00","31.00","31.25","30.50","52.31M","-1.59%"
"Oct 28, 2020","31.50","31.75","32.25","31.50","51.61M","-1.56%"
"Oct 27, 2020","32.00","31.75","32.25","31.50","47.63M","-0.78%"
"Oct 26, 2020","32.25","32.00","32.25","31.50","32.68M","0.00%"
"Oct 22, 2020","32.25","32.00","32.75","31.50","38.07M","0.00%"
"Oct 21, 2020","32.25","32.25","32.50","31.75","49.71M","0.00%"
"Oct 20, 2020","32.25","32.00","32.50","31.50","54.01M","-0.77%"
"Oct 19, 2020","32.50","32.50","32.75","32.25","37.15M","-0.76%"
"Oct 16, 2020","32.75","33.00","33.25","32.50","49.33M","-0.76%"
"Oct 15, 2020","33.00","33.00","33.50","32.75","61.29M","-0.75%"
"Oct 14, 2020","33.25","33.75","34.00","33.00","60.66M","-2.92%"
"Oct 12, 2020","34.25","33.25","34.50","33.00","78.59M","3.01%"
"Oct 09, 2020","33.25","33.25","33.50","32.75","38.91M","0.76%"
"Oct 08, 2020","33.00","33.00","33.75","32.75","55.61M","0.00%"
"Oct 07, 2020","33.00","32.75","33.00","32.25","43.23M","0.00%"
"Oct 06, 2020","33.00","32.75","33.25","32.50","67.79M","2.33%"
"Oct 05, 2020","32.25","32.50","32.75","32.00","33.83M","0.00%"
"Oct 02, 2020","32.25","32.75","33.00","31.75","46.63M","-2.27%"
"Oct 01, 2020","33.00","32.50","33.25","32.00","35.31M","3.13%"
"Sep 30, 2020","32.00","33.00","33.25","32.00","55.63M","-3.76%"
"Sep 29, 2020","33.25","33.50","33.50","33.00","34.35M","-0.75%"
"Sep 28, 2020","33.50","32.75","33.50","32.50","43.09M","3.08%"
"Sep 25, 2020","32.50","32.50","33.00","32.25","43.55M","0.00%"
"Sep 24, 2020","32.50","33.00","33.50","32.50","65.11M","-2.99%"
"Sep 23, 2020","33.50","34.50","34.50","33.50","53.31M","-2.19%"
"Sep 22, 2020","34.25","34.50","34.75","34.00","53.56M","-2.14%"
"Sep 21, 2020","35.00","35.25","35.50","34.75","30.10M","-0.71%"
"Sep 18, 2020","35.25","35.75","35.75","35.00","56.53M","-1.40%"
"Sep 17, 2020","35.75","35.25","35.75","35.00","32.62M","1.42%"
"Sep 16, 2020","35.25","35.25","35.50","35.00","37.85M","0.00%"
"Sep 15, 2020","35.25","35.00","35.50","34.50","45.04M","0.71%"
"Sep 14, 2020","35.00","35.25","35.50","35.00","30.05M","0.00%"
"Sep 11, 2020","35.00","35.00","35.50","35.00","22.35M","-0.71%"
"Sep 10, 2020","35.25","35.25","35.75","35.00","33.59M","0.00%"
"Sep 09, 2020","35.25","34.25","35.50","33.75","52.81M","0.71%"
"Sep 08, 2020","35.00","35.50","35.75","35.00","38.23M","-2.78%"
"Sep 03, 2020","36.00","36.25","36.50","36.00","33.80M","-1.37%"
"Sep 02, 2020","36.50","36.25","36.50","36.00","31.75M","0.69%"
"Sep 01, 2020","36.25","36.25","36.50","36.00","32.74M","0.69%"
"Aug 31, 2020","36.00","36.75","37.25","36.00","58.95M","-2.04%"
"Aug 28, 2020","36.75","37.50","37.75","36.50","60.85M","-1.34%"
"Aug 27, 2020","37.25","37.25","38.00","37.00","66.12M","0.68%"
"Aug 26, 2020","37.00","37.25","37.50","36.75","32.47M","-0.67%"
"Aug 25, 2020","37.25","37.00","37.75","37.00","40.67M","1.36%"
"Aug 24, 2020","36.75","36.50","37.25","36.25","40.12M","0.68%"
"Aug 21, 2020","36.50","36.75","37.00","36.25","35.24M","0.69%"
"Aug 20, 2020","36.25","37.00","37.25","36.25","49.67M","-2.68%"
"Aug 19, 2020","37.25","38.25","38.25","37.25","55.44M","-1.97%"
"Aug 18, 2020","38.00","38.00","38.25","37.75","32.00M","0.00%"
"Aug 17, 2020","38.00","38.00","38.25","37.75","20.15M","0.66%"
"Aug 14, 2020","37.75","38.25","38.50","37.50","38.13M","-1.31%"
"Aug 13, 2020","38.25","37.75","38.75","37.75","61.05M","2.00%"
"Aug 11, 2020","37.50","38.00","38.50","37.50","61.64M","-0.66%"
"Aug 10, 2020","37.75","38.25","38.50","37.75","23.19M","-1.31%"
"Aug 07, 2020","38.25","38.50","38.75","37.75","59.23M","-1.29%"
"Aug 06, 2020","38.75","38.75","39.50","38.50","34.95M","-0.64%"
"Aug 05, 2020","39.00","38.25","39.25","38.00","61.56M","2.63%"
"Aug 04, 2020","38.00","38.75","39.00","38.00","60.85M","-1.30%"
"Aug 03, 2020","38.50","39.00","39.00","38.25","35.06M","-1.28%"
"Jul 31, 2020","39.00","38.25","39.25","37.25","75.40M","2.63%"
"Jul 30, 2020","38.00","38.50","39.00","38.00","37.45M","-1.30%"
"Jul 29, 2020","38.50","38.50","38.75","38.25","29.21M","0.00%"
"Jul 24, 2020","38.50","39.00","39.25","38.50","42.73M","-3.14%"
"Jul 23, 2020","39.75","39.50","40.00","39.00","36.52M","0.63%"
"Jul 22, 2020","39.50","40.25","40.75","39.00","65.46M","-1.86%"
"Jul 21, 2020","40.25","39.00","40.50","39.00","65.62M","4.55%"
"Jul 20, 2020","38.50","38.50","39.00","38.25","25.57M","-0.65%"
"Jul 17, 2020","38.75","38.50","39.00","38.00","27.83M","1.31%"
"Jul 16, 2020","38.25","38.75","38.75","37.75","37.28M","-1.29%"
"Jul 15, 2020","38.75","38.25","39.00","38.00","44.60M","1.97%"
"Jul 14, 2020","38.00","37.25","38.00","37.00","33.13M","1.33%"
"Jul 13, 2020","37.50","38.50","38.75","37.50","45.42M","-1.96%"
"Jul 10, 2020","38.25","38.75","39.00","38.00","51.05M","-2.55%"
"Jul 09, 2020","39.25","39.50","39.75","39.00","52.23M","-0.63%"
"Jul 08, 2020","39.50","40.00","40.50","39.00","75.15M","-1.86%"
"Jul 07, 2020","40.25","39.75","41.00","39.75","98.30M","2.55%"
"Jul 03, 2020","39.25","39.25","39.75","38.75","45.90M","0.64%"
"Jul 02, 2020","39.00","38.50","39.75","38.25","85.89M","1.30%"
"Jul 01, 2020","38.50","38.00","38.50","37.50","51.48M","1.99%"
"Jun 30, 2020","37.75","37.75","38.25","37.50","48.96M","1.34%"
"Jun 29, 2020","37.25","36.50","37.50","36.50","35.80M","0.68%"
"Jun 26, 2020","37.00","37.75","38.00","37.00","32.05M","-0.67%"
"Jun 25, 2020","37.25","37.00","37.25","36.25","50.16M","-0.67%"
"Jun 24, 2020","37.50","39.00","39.00","37.25","45.65M","-3.23%"
"Jun 23, 2020","38.75","38.75","38.75","38.25","27.06M","0.65%"
"Jun 22, 2020","38.50","38.00","38.50","37.75","43.70M","0.65%"
"Jun 19, 2020","38.25","38.00","38.25","37.50","48.34M","1.32%"
"Jun 18, 2020","37.75","37.25","38.00","37.00","34.17M","-0.66%"
"Jun 17, 2020","38.00","37.50","38.00","37.00","77.57M","0.00%"
"Jun 16, 2020","38.00","37.75","38.50","37.25","78.57M","4.11%"
"Jun 15, 2020","36.50","36.75","37.25","36.00","74.05M","-2.01%"
"Jun 12, 2020","37.25","37.25","37.75","36.75","93.98M","-3.25%"
"Jun 11, 2020","38.50","39.00","39.25","38.00","55.34M","-1.91%"
"Jun 10, 2020","39.25","39.50","39.50","38.50","66.06M","0.64%"
"Jun 09, 2020","39.00","40.25","40.50","38.75","116.57M","-4.29%"
"Jun 08, 2020","40.75","40.50","41.50","40.25","120.90M","3.16%"
"Jun 05, 2020","39.50","38.00","40.50","37.50","172.78M","3.95%"
"Jun 04, 2020","38.00","37.75","38.25","37.25","112.63M","2.70%"
"Jun 02, 2020","37.00","36.25","37.00","35.75","53.31M","2.78%"
"Jun 01, 2020","36.00","35.75","36.50","35.75","57.10M","1.41%"
"May 29, 2020","35.50","35.50","35.75","35.00","92.20M","0.00%"
"May 28, 2020","35.50","36.50","36.75","35.50","74.68M","-2.74%"
"May 27, 2020","36.50","36.50","36.75","36.00","39.04M","-0.68%"
"May 26, 2020","36.75","36.75","37.25","36.50","47.88M","1.38%"
"May 25, 2020","36.25","35.75","36.50","35.75","25.19M","1.40%"
"May 22, 2020","35.75","36.50","36.75","35.50","69.38M","-3.38%"
"May 21, 2020","37.00","37.00","37.25","36.50","47.69M","0.68%"
"May 20, 2020","36.75","36.50","37.00","36.25","46.70M","0.68%"
