"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2020","52.00","53.25","53.75","51.75","7.18M","-2.35%"
"Dec 29, 2020","53.25","51.50","53.25","51.25","9.66M","3.90%"
"Dec 28, 2020","51.25","54.25","54.75","51.25","11.99M","-5.09%"
"Dec 25, 2020","54.00","52.75","54.00","52.50","8.69M","3.35%"
"Dec 24, 2020","52.25","52.25","53.00","51.50","8.88M","1.46%"
"Dec 23, 2020","51.50","53.00","53.50","51.25","10.23M","-2.83%"
"Dec 22, 2020","53.00","52.25","53.25","51.25","15.04M","0.95%"
"Dec 21, 2020","52.50","52.00","53.50","51.50","23.83M","-4.11%"
"Dec 18, 2020","54.75","54.00","55.25","53.75","20.06M","0.92%"
"Dec 17, 2020","54.25","54.25","55.00","54.25","8.45M","0.46%"
"Dec 16, 2020","54.00","55.25","55.25","53.25","14.86M","-0.46%"
"Dec 15, 2020","54.25","53.75","54.25","52.25","21.96M","0.00%"
"Dec 14, 2020","54.25","55.25","55.50","54.00","12.54M","-2.25%"
"Dec 09, 2020","55.50","54.75","55.75","54.25","27.89M","4.23%"
"Dec 08, 2020","53.25","52.50","54.00","51.25","23.69M","2.40%"
"Dec 04, 2020","52.00","52.00","52.50","51.25","13.83M","0.48%"
"Dec 03, 2020","51.75","50.00","51.75","49.75","17.56M","4.02%"
"Dec 02, 2020","49.75","49.00","50.00","48.50","19.57M","0.51%"
"Dec 01, 2020","49.50","48.00","50.25","47.75","17.43M","4.21%"
"Nov 30, 2020","47.50","48.75","49.25","47.50","25.40M","-4.52%"
"Nov 27, 2020","49.75","50.50","51.00","49.50","17.65M","-2.93%"
"Nov 26, 2020","51.25","51.25","51.50","50.50","17.22M","0.99%"
"Nov 25, 2020","50.75","50.75","51.00","49.50","23.27M","4.10%"
"Nov 24, 2020","48.75","50.25","50.75","48.50","19.84M","-1.52%"
"Nov 23, 2020","49.50","48.75","49.75","48.75","14.22M","1.54%"
"Nov 20, 2020","48.75","48.25","48.75","47.50","12.58M","0.52%"
"Nov 19, 2020","48.50","47.25","49.00","47.00","18.18M","2.11%"
"Nov 18, 2020","47.50","46.75","47.50","46.25","10.36M","1.60%"
"Nov 17, 2020","46.75","47.25","47.75","46.25","19.51M","0.54%"
"Nov 16, 2020","46.50","46.00","47.00","46.00","22.54M","3.91%"
